name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
A BCD,242000001,1000089,CNA7807,Unspecified / OTHER,-,-,-,-,-,Morocco,https://magicport.ai/vessels/unspecified/a-bcd-mmsi-242000001
A DUNG B9,574111989,-,FARRHER,Fishing / FISHING,-,-,32 m,-,-,Vietnam,https://magicport.ai/vessels/fishing/a-dung-b9-mmsi-574111989
A LUC C1DA CAO,574567495,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/a-luc-c1da-cao-mmsi-574567495
A T Z 11,9127519,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/a-t-z-11-mmsi-9127519
A615012,412005012,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/a615012-mmsi-412005012
A7VAPCO,574213075,-,-,Fishing / FISHING,-,-,20 m,-,-,Vietnam,https://magicport.ai/vessels/fishing/a7vapco-mmsi-574213075
AA11667 1694,222222216,-,-,Fishing / FISHING,-,-,80 m,-,-,-,https://magicport.ai/vessels/fishing/aa11667-1694-mmsi-222222216
AA32233 2899,322330028,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/aa32233-2899-mmsi-322330028
AAAA8,1140,-,XIPU,Fishing / FISHING,-,-,46 m,-,-,-,https://magicport.ai/vessels/fishing/aaaa8-mmsi-1140
AAAAAAAAAAAAAAAAAA,200017401,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/aaaaaaaaaaaaaaaaaa-mmsi-200017401
AAAAAAAAAAAAAAAAAA,800050983,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/aaaaaaaaaaaaaaaaaa-mmsi-800050983
AAAAAAAAAAAAAAAAAA,200020825,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/aaaaaaaaaaaaaaaaaa-mmsi-200020825
AAAAAAAAAAAAAAAAAA,200013865,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/aaaaaaaaaaaaaaaaaa-mmsi-200013865
AAAAAAAAAAAAAAAAAA,800051112,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/aaaaaaaaaaaaaaaaaa-mmsi-800051112
AAFJORD,257303140,-,LF4255,Fishing / FISHING,-,-,10 m,-,-,Norway,https://magicport.ai/vessels/fishing/aafjord-mmsi-257303140
AAH ALJASI,408900819,-,-,Fishing / FISHING,-,-,-,-,-,Bahrain,https://magicport.ai/vessels/fishing/aah-aljasi-mmsi-408900819
