name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
YUE YANG JIANG YU691,412460932,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-yang-jiang-yu691-mmsi-412460932
YUE YANG JIANG00689,200021504,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-yang-jiang00689-mmsi-200021504
YUE YANG XI 31069,412476031,-,-,Fishing / FISHING,-,-,50 m,-,-,China,https://magicport.ai/vessels/fishing/yue-yang-xi-31069-mmsi-412476031
YUE YANG XI 81242,412475467,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-yang-xi-81242-mmsi-412475467
YUE YANG XI 96208,412475252,-,0042176,Fishing / FISHING,-,-,11 m,-,-,China,https://magicport.ai/vessels/fishing/yue-yang-xi-96208-mmsi-412475252
YUE YANG XI 96292,412475335,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-yang-xi-96292-mmsi-412475335
YUE YANG XI YU 31271,412461088,-,-,Fishing / FISHING,-,-,7 m,-,-,China,https://magicport.ai/vessels/fishing/yue-yang-xi-yu-31271-mmsi-412461088
YUE YANG XI YU 31621,412475349,-,0096083,Fishing / FISHING,-,-,89 m,-,-,China,https://magicport.ai/vessels/fishing/yue-yang-xi-yu-31621-mmsi-412475349
YUE ZHAN JIANG 00338,412479092,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-zhan-jiang-00338-mmsi-412479092
YUE ZHAN YU 02011,412480438,-,-,Fishing / FISHING,-,-,21 m,-,-,China,https://magicport.ai/vessels/fishing/yue-zhan-yu-02011-mmsi-412480438
YUE ZHAN YU 03807,412470988,-,-,Fishing / FISHING,-,-,13 m,-,-,-,https://magicport.ai/vessels/fishing/yue-zhan-yu-03807-mmsi-412470988
YUE ZHAN YU KE 3,411431277,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-zhan-yu-ke-3-mmsi-411431277
YUE ZHU GUI YU 6468,412465794,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-zhu-gui-yu-6468-mmsi-412465794
YUE ZHU HAI 21107,412478663,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-zhu-hai-21107-mmsi-412478663
YUE ZHU HAI 31052,412478584,-,31052,Fishing / FISHING,-,-,19 m,-,-,China,https://magicport.ai/vessels/fishing/yue-zhu-hai-31052-mmsi-412478584
YUE ZHU HAI 90004,412478514,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-zhu-hai-90004-mmsi-412478514
YUE ZHU WAN YU 3708,412482567,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yue-zhu-wan-yu-3708-mmsi-412482567
YUE ZHU XIANG YU1494,412482185,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yue-zhu-xiang-yu1494-mmsi-412482185
YUECHANYU33001,412493462,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuechanyu33001-mmsi-412493462
YUECHANYU33003,412498556,-,0000000,Fishing / FISHING,-,-,1022 m,-,-,China,https://magicport.ai/vessels/fishing/yuechanyu33003-mmsi-412498556
YUECHAONAN 11056,412470284,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuechaonan-11056-mmsi-412470284
YUECHAONAN 11064,412470287,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuechaonan-11064-mmsi-412470287
YUECHAOYANG08108,356419426,-,**427,Fishing / FISHING,-,-,26 m,-,-,-,https://magicport.ai/vessels/fishing/yuechaoyang08108-mmsi-356419426
YUECHAOYANGYU11 78,412468876,-,11178,Fishing / FISHING,-,-,22 m,-,-,China,https://magicport.ai/vessels/fishing/yuechaoyangyu11-78-mmsi-412468876
YUECHAOYANGYU13048,412466193,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuechaoyangyu13048-mmsi-412466193
YUECHAOYANGYU14006,412414006,-,14006,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuechaoyangyu14006-mmsi-412414006
YUECHENGYU11315,412488249,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuechengyu11315-mmsi-412488249
YUECHENGYU12212,412470535,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuechengyu12212-mmsi-412470535
YUECHENGYU16004,412470567,-,0000000,Fishing / FISHING,-,-,23 m,-,-,China,https://magicport.ai/vessels/fishing/yuechengyu16004-mmsi-412470567
YUECHENGYU19005,412470571,-,0000000,Fishing / FISHING,-,-,29 m,-,-,-,https://magicport.ai/vessels/fishing/yuechengyu19005-mmsi-412470571
YUECHENGYU19109,412470497,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuechengyu19109-mmsi-412470497
YUECHENGYU19221,412470551,-,0000000,Fishing / FISHING,-,-,15 m,-,-,China,https://magicport.ai/vessels/fishing/yuechengyu19221-mmsi-412470551
YUECHENGYU19242,412471481,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuechengyu19242-mmsi-412471481
YUECHENGYU19312,412470492,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuechengyu19312-mmsi-412470492
YUECHENGYU20803,417785452,-,-,Fishing / FISHING,-,-,-,-,-,Sri Lanka,https://magicport.ai/vessels/fishing/yuechengyu20803-mmsi-417785452
YUECHENGYU66327,412470505,-,66327,Fishing / FISHING,-,-,15 m,-,-,China,https://magicport.ai/vessels/fishing/yuechengyu66327-mmsi-412470505
YUEDIANBAI41196,412467785,-,-,Fishing / FISHING,-,-,37 m,-,-,China,https://magicport.ai/vessels/fishing/yuedianbai41196-mmsi-412467785
YUEDIANBAI43095,412468228,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuedianbai43095-mmsi-412468228
YUEDIANBAI4368,412468177,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuedianbai4368-mmsi-412468177
YUEDIANYU02084,412481049,-,-,Fishing / FISHING,-,-,8 m,-,-,-,https://magicport.ai/vessels/fishing/yuedianyu02084-mmsi-412481049
YUEDIANYU02113,412481057,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuedianyu02113-mmsi-412481057
YUEDIANYU04138,412464043,-,04138,Fishing / FISHING,-,-,12 m,-,-,China,https://magicport.ai/vessels/fishing/yuedianyu04138-mmsi-412464043
YUEDIANYU47028,412468367,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuedianyu47028-mmsi-412468367
YUEDIANYU92108,412460693,-,92108,Fishing / FISHING,-,-,47 m,-,-,China,https://magicport.ai/vessels/fishing/yuedianyu92108-mmsi-412460693
YUEDONGGUANYU03518,412461747,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuedongguanyu03518-mmsi-412461747
YUEDONGGUANYU10172,412474045,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuedongguanyu10172-mmsi-412474045
YUEDONGGUANYU92002,412467609,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuedongguanyu92002-mmsi-412467609
YUEDONGGUANYUXI80001,412465103,-,0080001,Fishing / FISHING,-,-,15 m,-,-,China,https://magicport.ai/vessels/fishing/yuedongguanyuxi80001-mmsi-412465103
YUEDONGWANYU61018,412464997,-,61018,Fishing / FISHING,-,-,22 m,-,-,China,https://magicport.ai/vessels/fishing/yuedongwanyu61018-mmsi-412464997
